Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Huang, X., Matricardi, P.M.",57189363167; 7004854250,Allergy and Asthma Care in the Mobile Phone Era,2019,Clinical Reviews in Allergy and Immunology,56,2,,161,173,,5,10.1007/s12016-016-8542-y,https://www.scopus.com/inward/record.url?eid=2-s2.0-84969793322&partnerID=40&md5=016330bc20b3c057154bc8f02cec23e6,Review,Final,,Scopus,2-s2.0-84969793322
"Luo, D., Wang, P., Lu, F., Elias, J., Sparks, J.A., Lee, Y.C.",57202293274; 57202292990; 57193674359; 57202283208; 56004527700; 24344027600,Mobile Apps for Individuals with Rheumatoid Arthritis: A Systematic Review,2019,Journal of Clinical Rheumatology,25,3,,133,141,,5,10.1097/RHU.0000000000000800,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062449333&partnerID=40&md5=5d2c35a9483251458f719e604765d33b,Review,Final,,Scopus,2-s2.0-85062449333
"Espay, A.J., Hausdorff, J.M., Sánchez-Ferro, Á., Klucken, J., Merola, A., Bonato, P., Paul, S.S., Horak, F.B., Vizcarra, J.A., Mestre, T.A., Reilmann, R., Nieuwboer, A., Dorsey, E.R., Rochester, L., Bloem, B.R., Maetzler, W.",6507630454; 7006799695; 51964835600; 6603201965; 20435871500; 7006225560; 11539504900; 7102345593; 56465809900; 57202566818; 6602616645; 6701466631; 57202594230; 7003666082; 55147745600; 55887146800,A roadmap for implementation of patient-centered digital outcome measures in Parkinson's disease obtained using mobile health technologies,2019,Movement Disorders,34,5,,657,663,,4,10.1002/mds.27671,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063317882&partnerID=40&md5=6c59e4c9fa31aeeecebda4c182773ff1,Review,Final,,Scopus,2-s2.0-85063317882
"Kaw, J.A., Loan, N.A., Parah, S.A., Muhammad, K., Sheikh, J.A., Bhat, G.M.",57202049989; 56997291000; 35793844300; 56651946700; 35485474600; 7103251059,A reversible and secure patient information hiding system for IoT driven e-health,2019,International Journal of Information Management,45,,,262,275,,4,10.1016/j.ijinfomgt.2018.09.008,https://www.scopus.com/inward/record.url?eid=2-s2.0-85055084191&partnerID=40&md5=a7218a78353852f0cc5718253599a879,Article,Final,,Scopus,2-s2.0-85055084191
"Karaca, Y., Moonis, M., Zhang, Y.-D., Gezgez, C.",56585856100; 57207520157; 57201748213; 57204140508,Mobile cloud computing based stroke healthcare system,2019,International Journal of Information Management,45,,,250,261,,4,10.1016/j.ijinfomgt.2018.09.012,https://www.scopus.com/inward/record.url?eid=2-s2.0-85054687557&partnerID=40&md5=dd0b38766b311ac52959f1a0fca01ef0,Article,Final,,Scopus,2-s2.0-85054687557
"Liu, J., Cao, H., Li, Q., Cai, F., Du, X., Guizani, M.",8555212500; 57201682826; 57201688433; 57201686217; 8371278000; 7004750176,A large-scale concurrent data anonymous batch verification scheme for mobile healthcare crowd sensing,2019,IEEE Internet of Things Journal,6,2,8341503,1321,1330,,4,10.1109/JIOT.2018.2828463,https://www.scopus.com/inward/record.url?eid=2-s2.0-85045722663&partnerID=40&md5=c93b206485801d806881222249de1bd5,Article,Final,,Scopus,2-s2.0-85045722663
"Holmlund, T.B., Foltz, P.W., Cohen, A.S., Johansen, H.D., Sigurdsen, R., Fugelli, P., Bergsager, D., Cheng, J., Bernstein, J., Rosenfeld, E., Elvevåg, B.",37761509600; 6602295436; 35236804900; 23004721800; 57206902609; 57198013558; 57204047350; 57204216496; 7402304021; 57192922059; 6701427451,Moving psychological assessment out of the controlled laboratory setting: Practical challenges,2019,Psychological Assessment,31,3,,292,303,,4,10.1037/pas0000647,https://www.scopus.com/inward/record.url?eid=2-s2.0-85061372723&partnerID=40&md5=3287ba59bff6067ea16b594ab0596722,Article,Final,,Scopus,2-s2.0-85061372723
"Li, X., Huang, X., Li, C., Yu, R., Shu, L.",56073858200; 56780705800; 57203873606; 57043605700; 35248927000,EdgeCare: Leveraging Edge Computing for Collaborative Data Management in Mobile Healthcare Systems,2019,IEEE Access,7,,8637930,22011,22025,,4,10.1109/ACCESS.2019.2898265,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062835576&partnerID=40&md5=1f39249d35d4212ba8e74617e87dd948,Article,Final,Open Access,Scopus,2-s2.0-85062835576
"AbualSaud, K., Elfouly, T.M., Khattab, T., Yaacoub, E., Ismail, L.S., Ahmed, M.H., Guizani, M.",26025901900; 35101804300; 8334317300; 15119774400; 6507656995; 7402830911; 7004750176,A Survey on Mobile Crowd-Sensing and Its Applications in the IoT Era,2019,IEEE Access,7,,8570744,3855,3881,,4,10.1109/ACCESS.2018.2885918,https://www.scopus.com/inward/record.url?eid=2-s2.0-85058189054&partnerID=40&md5=a2648acc33a61946c2cc1c25badb4202,Review,Final,Open Access,Scopus,2-s2.0-85058189054
"Gustavell, T., Langius-Eklöf, A., Wengström, Y., Segersvärd, R., Sundberg, K.",57192313790; 6507120706; 12806863100; 55879280000; 25121772500,Development and feasibility of an interactive smartphone app for early assessment and management of symptoms following pancreaticoduodenectomy,2019,Cancer Nursing,42,3,,E1,E10,,3,10.1097/NCC.0000000000000584,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064988997&partnerID=40&md5=5d3b135376388e91d0d4d595505ce275,Article,Final,,Scopus,2-s2.0-85064988997
"Fortuna, K., Barr, P., Goldstein, C., Walker, R., Brewer, L., Zagaria, A., Bartels, S.",57190063485; 37070370000; 55445154300; 57195772218; 16038720700; 57195515827; 7006052074,Application of community-engaged research to inform the development and implementation of a peer-delivered mobile health intervention for adults with serious mental illness,2019,Journal of Medical Internet Research,21,3, e12380,,,,3,10.2196/12380,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066781455&partnerID=40&md5=ad6e85604ae6edfd507cd4dbb5c1ec8d,Article,Final,Open Access,Scopus,2-s2.0-85066781455
"Zhang, Y., Shu, J., Liu, X., Li, J., Zheng, D.",36562811500; 56103718300; 55755272500; 55868178400; 7202567251,Comments on 'A Large-Scale Concurrent Data Anonymous Batch Verification Scheme for Mobile Healthcare Crowd Sensing',2019,IEEE Internet of Things Journal,6,1,8424406,1287,1290,,3,10.1109/JIOT.2018.2862381,https://www.scopus.com/inward/record.url?eid=2-s2.0-85050985034&partnerID=40&md5=6db121d2da9789e15b1bae383d3e1e42,Article,Final,,Scopus,2-s2.0-85050985034
"Kim, K.-H., Kim, K.-J., Lee, D.-H., Kim, M.-G.",57020115300; 57050548400; 57205220567; 57205221912,Identification of critical quality dimensions for continuance intention in mHealth services: Case study of onecare service,2019,International Journal of Information Management,46,,,187,197,,2,10.1016/j.ijinfomgt.2018.12.008,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059170121&partnerID=40&md5=fc594c8beabca292bafae37f926ab7eb,Article,Final,,Scopus,2-s2.0-85059170121
"Tang, W., Zhang, K., Zhang, D., Ren, J., Zhang, Y., Shen, X.S.",57022709900; 55695066400; 57201567461; 55260951700; 7601311414; 7402721166,Fog-Enabled Smart Health: Toward Cooperative and Secure Healthcare Service Provision,2019,IEEE Communications Magazine,57,5,8713797,42,48,,2,10.1109/MCOM.2019.1800234,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065878524&partnerID=40&md5=cbad89dddd771efd14f4e6890a0e225d,Article,Final,,Scopus,2-s2.0-85065878524
"Kumar, V., Ahmad, M., Kumari, A.",57203774482; 57199846726; 57204124149,A secure elliptic curve cryptography based mutual authentication protocol for cloud-assisted TMIS,2019,Telematics and Informatics,38,,,100,117,,2,10.1016/j.tele.2018.09.001,https://www.scopus.com/inward/record.url?eid=2-s2.0-85054601218&partnerID=40&md5=932c577511ab50b50318c5c0480ee49d,Article,Final,,Scopus,2-s2.0-85054601218
"Kosse, R.C., Bouvy, M.L., Belitser, S.V., de Vries, T.W., van der Wa, P.S., Koster, E.S.",57193721311; 7005167271; 6505784559; 7102016915; 57208321525; 35094113700,Effective engagement of adolescent asthma patients with mobile health-supporting medication adherence,2019,JMIR mHealth and uHealth,7,3, e12411,,,,2,10.2196/12411,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064448007&partnerID=40&md5=26ff5bc14243aefa351a84efa10b627e,Article,Final,Open Access,Scopus,2-s2.0-85064448007
"Jungwirth, D., Haluza, D.",56377411800; 25122171800,Information and communication technology and the future of healthcare: Results of a multi-scenario Delphi survey,2019,Health Informatics Journal,25,1,,161,173,,2,10.1177/1460458217704256,https://www.scopus.com/inward/record.url?eid=2-s2.0-85061668425&partnerID=40&md5=6a05c9a155581f10ac927d94248ae352,Article,Final,,Scopus,2-s2.0-85061668425
"Oliveira, J., Brito-Pereira, R., Gonçalves, B.F., Etxebarria, I., Lanceros-Mendez, S.",55947200400; 57193843143; 57190294557; 57190868753; 6701729657,Recent developments on printed photodetectors for large area and flexible applications,2019,Organic Electronics,66,,,216,226,,2,10.1016/j.orgel.2018.12.028,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059570877&partnerID=40&md5=03b0560179cd6c2624f5b21eec5083ec,Review,Final,,Scopus,2-s2.0-85059570877
"O'Loughlin, K., Neary, M., Adkins, E.C., Schueller, S.M.",57202603094; 57197749292; 57194173150; 57202738085,Reviewing the data security and privacy policies of mobile apps for depression,2019,Internet Interventions,15,,,110,115,,2,10.1016/j.invent.2018.12.001,https://www.scopus.com/inward/record.url?eid=2-s2.0-85058803414&partnerID=40&md5=4d3b8cc152983aa51dde32663713b0ad,Article,Final,Open Access,Scopus,2-s2.0-85058803414
"Karimi, E., Jiang, Z.H., Fei, Y., Kaeli, D.",57196911110; 57189071526; 7103059457; 7003340827,A Timing Side-Channel Attack on a Mobile GPU,2019,"Proceedings - 2018 IEEE 36th International Conference on Computer Design, ICCD 2018",,,8615670,67,74,,2,10.1109/ICCD.2018.00020,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062211001&partnerID=40&md5=58093549cfe57f2dfa65f7ac627f7e8b,Conference Paper,Final,,Scopus,2-s2.0-85062211001
"Bae, W.-S.",56542807300,Verifying a secure authentication protocol for IoT medical devices,2019,Cluster Computing,22,,,1985,1990,,2,10.1007/s10586-017-1107-x,https://www.scopus.com/inward/record.url?eid=2-s2.0-85028597798&partnerID=40&md5=bafcaecd49733b20f7b65214620e8cf2,Article,Final,,Scopus,2-s2.0-85028597798
"Zhou, L., Bao, J., Watzlaf, V., Parmanto, B.",7404125308; 57205516297; 6603831158; 6602904022,Barriers to and facilitators of the use of mobile health apps from a security perspective: Mixed-methods study,2019,JMIR mHealth and uHealth,7,4, e11223,,,,2,10.2196/11223,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066467357&partnerID=40&md5=1569e1ae53ae322f720d7ca2e4a5ca1d,Article,Final,Open Access,Scopus,2-s2.0-85066467357
"Marrie, R.A., Leung, S., Tyry, T., Cutter, G.R., Fox, R., Salter, A.",56962754600; 16301312000; 13606162900; 34568672500; 7403466709; 23467695100,Use of eHealth and mHealth technology by persons with multiple sclerosis,2019,Multiple Sclerosis and Related Disorders,27,,,13,19,,2,10.1016/j.msard.2018.09.036,https://www.scopus.com/inward/record.url?eid=2-s2.0-85054190262&partnerID=40&md5=afd13cc08229081b882eabdbb49a4e5e,Article,Final,,Scopus,2-s2.0-85054190262
"Katusiime, J., Pinkwart, N.",57192378542; 55903827500,A review of privacy and usability issues in mobile health systems: Role of external factors,2019,Health informatics journal,25,3,,935,950,,1,10.1177/1460458217733121,https://www.scopus.com/inward/record.url?eid=2-s2.0-85071281356&partnerID=40&md5=98edace2afe97bdd55642a1eb01ba9f2,Article,Final,,Scopus,2-s2.0-85071281356
"Arfaoui, A., Kribeche, A., Senouci, S.-M.",57201884797; 57188835084; 6603438406,Context-aware anonymous authentication protocols in the internet of things dedicated to e-health applications,2019,Computer Networks,159,,,23,36,,1,10.1016/j.comnet.2019.04.031,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065540031&partnerID=40&md5=6934a120ecfae24d37385558d7f3f7e4,Article,Final,,Scopus,2-s2.0-85065540031
"Fontenot, H.B., Rosenberger, J.G., McNair, K.T., Mayer, K.H., Zimet, G.",16041841600; 8973498600; 57201459215; 7201681809; 7003441652,Perspectives and preferences for a mobile health tool designed to facilitate HPV vaccination among young men who have sex with men,2019,Human Vaccines and Immunotherapeutics,15,7-Aug,,1815,1823,,1,10.1080/21645515.2019.1568156,https://www.scopus.com/inward/record.url?eid=2-s2.0-85060875774&partnerID=40&md5=3cfa302ca9150c0656e301937c5aaf7e,Article,Final,,Scopus,2-s2.0-85060875774
"Fernández-Caramés, T.M., Froiz-Míguez, I., Blanco-Novoa, O., Fraga-Lamas, P.",24467756100; 57203525740; 57193715377; 56039568800,"Enabling the internet of mobile crowdsourcing health things: A mobile fog computing, blockchain and iot based continuous glucose monitoring system for diabetes mellitus research and care",2019,Sensors (Switzerland),19,15,3319,,,,1,10.3390/s19153319,https://www.scopus.com/inward/record.url?eid=2-s2.0-85070554330&partnerID=40&md5=a83c90e08dd396355f06e3301962a76e,Article,Final,Open Access,Scopus,2-s2.0-85070554330
"Cafazzo, J.A.",9237143400,A Digital-First Model of Diabetes Care,2019,Diabetes Technology and Therapeutics,21,S2,,S2,52-S2-58,,1,10.1089/dia.2019.0058,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067062499&partnerID=40&md5=634a2183f9f695309382086650817f0f,Article,Final,Open Access,Scopus,2-s2.0-85067062499
"Alnfiai, M., Sampalli, S.",57191039801; 6507227185,BraillePassword: accessible web authentication technique on touchscreen devices,2019,Journal of Ambient Intelligence and Humanized Computing,10,6,,2375,2391,,1,10.1007/s12652-018-0860-x,https://www.scopus.com/inward/record.url?eid=2-s2.0-85049574862&partnerID=40&md5=676015efad746ad906916e297036dd24,Article,Final,,Scopus,2-s2.0-85049574862
"Meharouech, A., Elias, J., Mehaoua, A.",56971490700; 14033040400; 6701758569,Moving towards body-to-body sensor networks for ubiquitous applications: A survey,2019,Journal of Sensor and Actuator Networks,8,2,27,,,,1,10.3390/jsan8020027,https://www.scopus.com/inward/record.url?eid=2-s2.0-85070565407&partnerID=40&md5=ad155315865f06e7a14ac6a7cfb0cb30,Article,Final,Open Access,Scopus,2-s2.0-85070565407
"Wykes, T., Schueller, S.",7005058916; 35491626800,Why reviewing apps is not enough: Transparency for trust (T4T) principles of responsible health app marketplaces,2019,Journal of Medical Internet Research,21,5, e12390,,,,1,10.2196/12390,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065537660&partnerID=40&md5=66f272b678d1e518d26cb7438cc39d14,Review,Final,Open Access,Scopus,2-s2.0-85065537660
"Quevedo Rodríguez, A., Wägner, A.M.",57205681202; 7401456520,Mobile phone applications for diabetes management: A systematic review | Aplicaciones móviles para la autogestión de la diabetes: una revisión sistemática,2019,"Endocrinologia, Diabetes y Nutricion",66,5,,330,337,,1,10.1016/j.endinu.2018.11.005,https://www.scopus.com/inward/record.url?eid=2-s2.0-85061107780&partnerID=40&md5=7031d8158ab1fed3f37594ce528a66b4,Article,Final,,Scopus,2-s2.0-85061107780
"Nicholas, J., Shilton, K., Schueller, S.M., Gray, E.L., Kwasny, M.J., Mohr, D.C.",36876593500; 30567624300; 57202738085; 57209101038; 14519611300; 55614489700,The role of data type and recipient in individuals' perspectives on sharing passively collected smartphone data for mental health: Cross-sectional questionnaire study,2019,Journal of Medical Internet Research,21,4, e12578,,,,1,10.2196/12578,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067827843&partnerID=40&md5=03ef2e4e76e19db532fc16af94c669ad,Article,Final,Open Access,Scopus,2-s2.0-85067827843
"Greene, E., Proctor, P., Kotz, D.",57208748765; 57195202200; 7006805893,Secure sharing of mHealth data streams through cryptographically-enforced access control,2019,Smart Health,12,,,49,65,,1,10.1016/j.smhl.2018.01.003,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065679497&partnerID=40&md5=1106d83105b79c2c873d6538ab5da6f8,Article,Final,,Scopus,2-s2.0-85065679497
"Hadian, M., Altuwaiyan, T., Liang, X., Li, W.",57192109991; 57192113450; 36166745600; 56434390600,Privacy-preserving voice-based search over mHealth data,2019,Smart Health,12,,,24,34,,1,10.1016/j.smhl.2018.04.001,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065508442&partnerID=40&md5=10f0f90358cc69f1bae6f59e524b92d8,Article,Final,,Scopus,2-s2.0-85065508442
"Sahatiya, P., Shinde, A., Kadu, A., Badhulika, S.",55750475900; 57200527683; 57201197441; 37028044200,Functionalized water soluble nanomaterials and their applications in wirelessly destructible programmed flexible transient photodetectors,2019,Materials Science in Semiconductor Processing,93,,,324,330,,1,10.1016/j.mssp.2019.01.020,https://www.scopus.com/inward/record.url?eid=2-s2.0-85060189039&partnerID=40&md5=9abfc3fe82be88b7703185b9d526e1a1,Article,Final,,Scopus,2-s2.0-85060189039
"De La Cruz Monroy, M.F.I., Mosahebi, A.",56410801600; 55985666400,The Use of Smartphone Applications (Apps) for Enhancing Communication With Surgical Patients: A Systematic Review of the Literature,2019,Surgical Innovation,26,2,,244,259,,1,10.1177/1553350618819517,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059610797&partnerID=40&md5=69bff3320851342f20f624ce6475d957,Review,Final,,Scopus,2-s2.0-85059610797
"Parker, L., Bero, L., Gillies, D., Raven, M., Grundy, Q.",56662730400; 7006671378; 55947412700; 55338462500; 36237571300,The “hot potato” of mental health app regulation: A critical case study of the australian policy arena,2019,International Journal of Health Policy and Management,8,3,,168,176,,1,10.15171/ijhpm.2018.117,https://www.scopus.com/inward/record.url?eid=2-s2.0-85061737352&partnerID=40&md5=599a319e04da91c92adaac39482afeb8,Article,Final,Open Access,Scopus,2-s2.0-85061737352
"Qiu, J., Liang, X., Shetty, S., Bowden, D.",57207999828; 57195358870; 8970891400; 57201737497,Towards Secure and Smart Healthcare in Smart Cities Using Blockchain,2019,"2018 IEEE International Smart Cities Conference, ISC2 2018",,,8656914,,,,1,10.1109/ISC2.2018.8656914,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063528682&partnerID=40&md5=82b047eea44812869f88c87004dc042e,Conference Paper,Final,,Scopus,2-s2.0-85063528682
"Shaw, R., Levine, E., Streicher, M., Strawbridge, E., Gierisch, J., Pendergast, J., Hale, S., Reed, S., McVay, M., Simmons, D., Yancy, W., Bennett, G., Voils, C.",57203348570; 55759366200; 57208325799; 56700281200; 9248021900; 7003658721; 57200161920; 7402366561; 36656195000; 57208335515; 35478698300; 7401434466; 7801373173,Log2Lose: Development and lessons learned from a mobile technology weight loss intervention,2019,Journal of Medical Internet Research,21,2, e11972,,,,1,10.2196/11972,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066855439&partnerID=40&md5=bdb4f2678336c2a3b7d20c012d51ced8,Article,Final,Open Access,Scopus,2-s2.0-85066855439
"Zeleke, A.A., Worku, A.G., Demissie, A., Otto-Sobotka, F., Wilken, M., Lipprandt, M., Tilahun, B., Röhrig, R.",56502027700; 56206419000; 57208332538; 57200005860; 57194088463; 35095497800; 56416442500; 55920693700,"Evaluation of Electronic and Paper-Pen Data Capturing Tools for Data Quality in a Public Health Survey in a Health and Demographic Surveillance Site, Ethiopia: Randomized Controlled Crossover Health Care Information Technology Evaluation",2019,JMIR mHealth and uHealth,7,2, e10995,,,,1,10.2196/10995,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064521995&partnerID=40&md5=48feeacc49110c548979fafe749044fa,Article,Final,Open Access,Scopus,2-s2.0-85064521995
"Shaw, R., Levine, E., Streicher, M., Strawbridge, E., Gierisch, J., Pendergast, J., Hale, S., Reed, S., McVay, M., Simmons, D., Yancy, W., Bennett, G., Voils, C.",57203348570; 55759366200; 57208325799; 56700281200; 9248021900; 7003658721; 57200161920; 7402366561; 36656195000; 57208335515; 35478698300; 7401434466; 7801373173,Log2Lose: Development and lessons learned from a mobile technology weight loss intervention,2019,JMIR mHealth and uHealth,7,2, e11636,,,,1,10.2196/11972,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064500078&partnerID=40&md5=ae6a0d88af04f25b18c65801b07b796a,Article,Final,Open Access,Scopus,2-s2.0-85064500078
"Hendrikoff, L., Kambeitz-Ilankovic, L., Pryss, R., Senner, F., Falkai, P., Pogarell, O., Hasan, A., Peters, H.",57205250145; 55353768200; 36142027900; 57203587298; 7006453025; 7003444412; 14019434100; 35109617600,Prospective acceptance of distinct mobile mental health features in psychiatric patients and mental health professionals,2019,Journal of Psychiatric Research,109,,,126,132,,1,10.1016/j.jpsychires.2018.11.025,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059267634&partnerID=40&md5=35591294e8995a3b09e94a4c13cbf024,Article,Final,,Scopus,2-s2.0-85059267634
"Kim, H., Goldsmith, J.V., Sengupta, S., Mahmood, A., Powell, M.P., Bhatt, J., Chang, C.F., Bhuyan, S.S.",57189224022; 24171436000; 57201825619; 57192423189; 7401872616; 56341551300; 9041382700; 55212014900,Mobile Health Application and e-Health Literacy: Opportunities and Concerns for Cancer Patients and Caregivers,2019,Journal of Cancer Education,34,1,,3,8,,1,10.1007/s13187-017-1293-5,https://www.scopus.com/inward/record.url?eid=2-s2.0-85033665715&partnerID=40&md5=576ea4847cd53323d520145f47820546,Article,Final,,Scopus,2-s2.0-85033665715
"Müthing, J., Brüngel, R., Friedrich, C.M.",57205528421; 57202357796; 35232936500,Server-Focused Security Assessment of Mobile Health Apps for Popular Mobile Platforms,2019,Journal of medical Internet research,21,1,,e9818,,,1,10.2196/jmir.9818,https://www.scopus.com/inward/record.url?eid=2-s2.0-85060392423&partnerID=40&md5=c3c5761bb6b91b9edaa085b6dad117dc,Article,Final,Open Access,Scopus,2-s2.0-85060392423
"Berry, N., Lobban, F., Bucci, S.",57189618516; 6506642330; 8331986400,A qualitative exploration of service user views about using digital health interventions for self-management in severe mental health problems,2019,BMC Psychiatry,19,1,35,,,,1,10.1186/s12888-018-1979-1,https://www.scopus.com/inward/record.url?eid=2-s2.0-85060242600&partnerID=40&md5=bbf8b5165c512fd46e7d9e2ca310c7b2,Article,Final,Open Access,Scopus,2-s2.0-85060242600
"Thach, K.S.",57206728771,User's perception on mental health applications: A qualitative analysis of user reviews,2019,NICS 2018 - Proceedings of 2018 5th NAFOSTED Conference on Information and Computer Science,,,8606901,47,52,,1,10.1109/NICS.2018.8606901,https://www.scopus.com/inward/record.url?eid=2-s2.0-85061941603&partnerID=40&md5=6607d3987668965398578e5e4c172142,Conference Paper,Final,,Scopus,2-s2.0-85061941603
